상세영업상태명,지번주소,도로명주소,도로명우편번호,사업장명,업태구분명,좌표정보(X),좌표정보(Y)
영업,서울특별시 광진구 구의동 252-18 ,서울특별시 광진구 아차산로49길 29 (구의동),5043,포썸,단란주점,207375.4015,448441.0034
영업,서울특별시 광진구 중곡동 647-19,서울특별시 광진구 능동로 327-1 (중곡동),4918,스윙7080라이브,단란주점,207019.0917,450753.9756
폐업,서울특별시 광진구 구의동 246-19번지 ,,,로타리,단란주점,207349.4133,448291.2473
폐업,서울특별시 광진구 중곡동 31-24번지 ,,,갈채단란주점,단란주점,207273.9042,451232.3348
폐업,서울특별시 광진구 구의동 229-8번지 ,,,청록단란주점,단란주점,207860.9667,449155.8874
폐업,서울특별시 광진구 군자동 473-22번지 ,,,비지니스쓰리랑,단란주점,206806.7321,450575.9032
폐업,서울특별시 광진구 자양동 7-29번지 ,,,나포리,단란주점,205937.9549,448670.4659
폐업,서울특별시 광진구 구의동 53-15번지 ,,,탑단란주점,단란주점,207890.3502,449984.9213
폐업,서울특별시 광진구 구의동 199-8 ,서울특별시 광진구 아차산로 480 (구의동),5117,첼린지,단란주점,208346.8443,448693.1741
영업,서울특별시 광진구 자양동 1-20번지 ,서울특별시 광진구 동일로20길 113 (자양동),5073,금강산단란주점,단란주점,206087.728,448604.8998
영업,서울특별시 광진구 중곡동 80-11,서울특별시 광진구 용마산로 40 (중곡동),4949,캉캉노래짱,단란주점,207732.8112,450547.4421
폐업,"서울특별시 광진구 광장동 산 21번지 워커힐호텔내 14,15층 ",,,Clock 16,단란주점,,
영업,서울특별시 광진구 화양동 45-82 ,서울특별시 광진구 아차산로25길 13 (화양동),5019,슈퍼스타2,단란주점,205821.8985,448867.0379
영업,서울특별시 광진구 구의동 257-122번지 ,서울특별시 광진구 자양로18길 53 (구의동),5042,라이브7080백마강,단란주점,207564.5887,448441.7819
폐업,서울특별시 광진구 구의동 68-37번지 ,,,피플단란주점,단란주점,207526.5902,449223.7496
영업,서울특별시 광진구 중곡동 172-59번지 ,서울특별시 광진구 면목로 156 (중곡동),4908,스타단란주점,단란주점,207181.1961,451641.7171
폐업,서울특별시 광진구 중곡동 161-44번지 ,,,동경,단란주점,207032.6074,450682.4497
폐업,서울특별시 광진구 구의동 257-92번지 ,,,코리아나단란주점,단란주점,207536.4579,448435.2669
폐업,서울특별시 광진구 자양동 6-43번지 ,,,스파크단란주점,단란주점,205898.7338,448615.9564
폐업,서울특별시 광진구 구의동 246-10번지 ,,,서편제,단란주점,207438.6744,448349.3086
폐업,서울특별시 광진구 구의동 246-59번지 ,,,크로바단란주점,단란주점,207455.6405,448372.0209
폐업,서울특별시 광진구 자양동 219-5번지 ,,,월드컵,단란주점,207233.6953,448245.7076
