시군구명,어린이집명,시설 위도(좌표값),시설 경도(좌표값)
서초구,서초구립 서초4동써밋2어린이집,37.5018166952521,127.022923821487
서초구,서초구립 서초4동행복어린이집,37.4984660853465,127.016058397698
서초구,토마토어린이집,37.4958924378318,127.018599962027
서초구,서초래미안어린이집,37.49878472,127.0186027
동작구,구립새봄어린이집,37.4866197449456,126.970466260326
동작구,구립바르니어린이집,37.4851520159914,126.974384617734
동작구,구립로이어린이집,37.4877494012,126.9733830512
동작구,구립리가어린이집,37.4898288129,126.9728802636
동작구,지혜샘어린이집,37.4859300770343,126.971355195788
동작구,아이사랑어린이집,37.4854980108014,126.973024236128
동작구,두산위브어린이집,37.4859300770343,126.971355195788
동작구,피노키오어린이집,37.48610546,126.9731591
동작구,구립양지어린이집,37.48920433,126.9704865
동작구,구립사당어린이집,37.49066859,126.972252
동작구,구립문화어린이집,37.48516531,126.9723918
동작구,구립사당4동어린이집,37.48063136477,126.973078051915
동작구,자람어린이집,37.47940773,126.9697153
동작구,휴먼시아어린이집,37.47895794,126.9700064
동작구,숲속천사킨더가르텐어린이집,37.47988924,126.9711005
동작구,미래연 어린이집,37.48024183,126.9714428
동작구,구립둥지어린이집,37.48325134,126.9714434
동작구,예슬어린이집,37.48064744,126.9693907
동작구,다애어린이집,37.48308558,126.9754924
서초구,서초구립 반포센트레빌어린이집,37.5034306373109,127.015991604061
서초구,서초구립 라클라스어린이집,37.500358435889,127.014204124306
서초구,KCC직장어린이집,37.5036911100922,127.021194038222
서초구,BSP어린이집,37.5007182256371,127.018614729892
서초구,서초구립 반포래미안아이파크어린이집,37.5024083542299,127.013079234767
서초구,서초구립 반포단비어린이집,37.5086759206,127.0185171754
