사업종류,상호,주소,자치구,법정동
가스용품제조사업,(주)삼원가스 앤 플랜트,서울특별시 강서구 내발산동  687번지  ,강서구,내발산동
판매사업,우진특수기기,서울특별시 용산구 청파동1가  106-1번지  ,용산구,청파동1가
가스용품제조사업,태유산업사,서울특별시 금천구 독산동  999번지 13호  ,금천구,독산동
충전사업,서울숲충전소,서울특별시 성동구 성수동1가  656번지 1119호  ,성동구,성수동1가
판매사업,믿음가스,서울특별시 은평구 갈현동  325번지 8호  ,은평구,갈현동
판매사업,제삼가스,서울특별시 강북구 미아동  122번지 30호  ,강북구,미아동
판매사업,양지가스상사,서울특별시 강동구 성내동  509번지 4   호  ,강동구,성내동
판매사업,서초종합에너지,서울특별시 서초구 방배동  882번지 25호  ,서초구,방배동
판매사업,대중가스,서울특별시 동작구 대방동  391번지 241호  ,동작구,대방동
판매사업,평화가스,서울특별시 성동구 행당동  86번지 1호  ,성동구,행당동
판매사업,소망가스상사,서울특별시 용산구 신계동  1번지 171호  ,용산구,신계동
판매사업,중앙가스,서울특별시 서대문구 대신동  126번지 25호  ,서대문구,대신동
판매사업,유진물산(주),서울특별시 관악구 신림동  475번지 41호  ,관악구,신림동
판매사업,안전가스상사,서울특별시 중구 회현동1가  114번지  ,중구,회현동1가
판매사업,한국산소,서울특별시 노원구 상계동  389번지 665호  ,노원구,상계동
판매사업,24시가스,서울특별시 마포구 노고산동  109번지 23호  ,마포구,노고산동
판매사업,연합가스,서울특별시 서초구 서초동  1610번지 8호  ,서초구,서초동
판매사업,용산합동가스,서울특별시 마포구 공덕동  29번지 15호  ,마포구,공덕동
판매사업,영동가스상사,서울특별시 영등포구 신길동  1810번지  ,영등포구,신길동
충전사업,수도석유(주),"서울특별시 서초구 방배동  443번지 2호  , 24, 27호",서초구,방배동
판매사업,남부가스상사,서울특별시 금천구 독산동  376번지 1호  ,금천구,독산동
판매사업,금천에너지,서울특별시 금천구 가산동  4번지 6호  ,금천구,가산동
판매사업,세화가스,서울특별시 동작구 상도동  108번지 4호  ,동작구,상도동
판매사업,한샘가스,서울특별시 구로구 신도림동  271번지 20호  ,구로구,신도림동
