지번주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y),자치구,법정동
서울특별시 서대문구 연희동 89-7,연희주유소,주유소,193969.903312051,451891.090959018,서대문구,연희동
서울특별시 서대문구 창천동 512-3 중앙에너비스 동교동주유소 ,(주)중앙에너비스동교지점,주유소,193467.080799499,450841.063021388,서대문구,창천동
서울특별시 서대문구 홍제동 22-3 홍제동주유소,지에스칼텍스(주)홍제동주유소,주유소,195525.670223111,453473.190785987,서대문구,홍제동
서울특별시 서대문구 홍은동 379-6 신우주유소 ,(주)미래아스팔트 신우주유소,주유소,193447.061786569,453332.086866044,서대문구,홍은동
서울특별시 서대문구 남가좌동 80-26 ,㈜가재울뉴타운주유소,주유소,193150.568005,452637.96087,서대문구,남가좌동
서울특별시 마포구 합정동 396-9 ,서해에너지,일반판매소,191871.95699286,449655.694430663,마포구,합정동
서울특별시 서대문구 대신동 16-7 SK 행촌 제2주유소,행촌 제2주유소,주유소,194764.600440676,450972.327957594,서대문구,대신동
서울특별시 마포구 망원동 481-3 ,(주)안국에너지 망원동주유소,주유소,191735.501542281,450727.20270736,마포구,망원동
서울특별시 마포구 합정동 383-4,에스케이에너지 주식회사 안국주유소,주유소,192208.898477343,449675.056716998,마포구,합정동
서울특별시 마포구 염리동 155-6,에쓰-오일(주) 염리동 주유소,주유소,195053.439260579,449337.652681557,마포구,염리동
서울특별시 마포구 대흥동 337-30 ,(주)만성상사,주유소,194619.110455699,449301.139411883,마포구,대흥동
서울특별시 마포구 성산동 103-8 ,청원주유소,주유소,192265.944509177,451219.654273709,마포구,성산동
서울특별시 양천구 신월동 513-5 ,한강석유,일반판매소,186131.044077479,446571.847789679,양천구,신월동
서울특별시 양천구 신정동 1029-45 ,신정석유,일반판매소,187050.834665086,446473.900805319,양천구,신정동
서울특별시 양천구 신월동 206-1 ,동일석유(주)개나리주유소,주유소,185164.07240776,447351.284284049,양천구,신월동
서울특별시 양천구 신정동 1315 서부트럭터미널 ,(주)서부티엔디,주유소,185716.749050511,445264.23483344,양천구,신정동
서울특별시 양천구 신월동 199-5 ,신월동주유소,주유소,184990.887799484,447668.60828576,양천구,신월동
서울특별시 마포구 성산동 275-56,(주)블루원에너지 직영 성산대교주유소,주유소,191921.189275441,451339.294211842,마포구,성산동
"서울특별시 마포구 창전동 13-6 13-44, 13-15",주식회사 에스에스 오토,주유소,193971.947072844,449732.09499317,마포구,창전동
서울특별시 양천구 신월동 534-24 ,(주)진우에너지 신월점,주유소,186146.601794907,446437.037769859,양천구,신월동
서울특별시 양천구 목동 804-35 ,양천구주유소,주유소,188043.28464278,447572.186349064,양천구,목동
서울특별시 양천구 신월동 87-15 ,에이치지에너지 가로공원주유소,주유소,185284.030026225,448320.355378717,양천구,신월동
